0	1	2	3	4	5	Stems	Stems.1
Revised Romanization? baegopeuda Revised Romanization (translit.)? baegopeuda McCune–Reischauer? paegop'ŭda Yale Romanization? paykophuta							
Revised Romanization?	baegopeuda						
Revised Romanization (translit.)?	baegopeuda						
McCune–Reischauer?	paegop'ŭda						
Yale Romanization?	paykophuta						
Revised Romanization?	baegopeuda						
Revised Romanization (translit.)?	baegopeuda						
McCune–Reischauer?	paegop'ŭda						
Yale Romanization?	paykophuta						
						Stem 1	배고프 (baegopeu)
						Stem 2	배고파 (baegopa)
						Stem 3	배고프 (baegopeu)
						Conjugation type	Vowel-stem, regular
							
		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)		
Indicative	Non-past	ADJ;DECL;FIN;PRS;FORM	ADJ;FIN;PRS;INFM	ADJ;FIN;PRS;INFM;POL	ADJ;DECL;FIN;PRS;FORM;POL		
Indicative	Past	ADJ;DECL;FIN;PST;FORM	ADJ;FIN;PST;INFM	ADJ;FIN;PST;INFM;POL	ADJ;DECL;FIN;PST;FORM;POL		
Interrogative	Non-past	ADJ;INT;FIN;PRS;FORM	ADJ;FIN;PRS;INFM	ADJ;FIN;PRS;INFM;POL	ADJ;INT;FIN;PRS;FORM;POL		
Interrogative	Past	ADJ;INT;FIN;PST;FORM	ADJ;FIN;PST;INFM	ADJ;FIN;PST;INFM;POL	ADJ;INT;FIN;PST;FORM;POL		
Assertive	Assertive	ADJ;DECL;FIN;FUT;FORM	ADJ;FIN;FUT;INFM	ADJ;FIN;FUT;INFM;POL	ADJ;DECL;FIN;FUT;FORM;POL		
							
Cause/Reason	Cause/Reason	ADJ.CVB;NFIN;CAUS	ADJ.CVB;NFIN;CAUS	ADJ.CVB;NFIN;CAUS	ADJ.CVB;NFIN;CAUS		
Contrast	Contrast	ADJ.CVB;NFIN	ADJ.CVB;NFIN	ADJ.CVB;NFIN			
Conjunction	Conjunction	ADJ.CVB;NFIN;CONJ					
Condition	Condition	ADJ.CVB;NFIN;COND	ADJ.CVB;NFIN;COND				
							
Verbal nouns	Verbal nouns	ADJ.MSDR;NFIN;PRS	ADJ.MSDR;NFIN;PRS				
Past-tense verbal nouns	Past-tense verbal nouns	ADJ.MSDR;NFIN;PST	ADJ.MSDR;NFIN;PST				
Determiners	Present		ADJ.PTCP;NFIN;PRS				
Determiners	Future		ADJ.PTCP;NFIN;FUT				
