Unnamed: 0,Unnamed: 1,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,ADJ;DECL;FIN;PRS;FORM,ADJ;DECL;FIN;PRS;INFM,ADJ;DECL;FIN;PRS;INFM;POL,ADJ;DECL;FIN;PRS;FORM;POL
Indicative,Past,ADJ;DECL;FIN;PST;FORM,ADJ;DECL;FIN;PST;INFM,ADJ;DECL;FIN;PST;INFM;POL,ADJ;DECL;FIN;PST;FORM;POL
Interrogative,Non-past,ADJ;INT;FIN;PRS;FORM,ADJ;INT;FIN;PRS;INFM,ADJ;INT;FIN;PRS;INFM;POL,ADJ;INT;FIN;PRS;FORM;POL
Interrogative,Past,ADJ;INT;FIN;PST;FORM,ADJ;INT;FIN;PST;INFM,ADJ;INT;FIN;PST;INFM;POL,ADJ;INT;FIN;PST;FORM;POL
Assertive,Assertive,ADJ;DECL;FIN;FUT;FORM,ADJ;DECL;FIN;FUT;INFM,ADJ;DECL;FIN;FUT;INFM;POL,ADJ;DECL;FIN;FUT;FORM;POL
,,,,,
Cause/Reason,Cause/Reason,ADJ.CVB;NFIN;CAUS,ADJ.CVB;NFIN;CAUS,ADJ.CVB;NFIN;CAUS,ADJ.CVB;NFIN;CAUS
Contrast,Contrast,ADJ.CVB;NFIN,ADJ.CVB;NFIN,ADJ.CVB;NFIN,
Conjunction,Conjunction,ADJ.CVB;NFIN;CONJ,,,
Condition,Condition,ADJ.CVB;NFIN;COND,ADJ.CVB;NFIN;COND,,
,,,,,
Verbal nouns,Verbal nouns,ADJ.MSDR;NFIN;PRS,ADJ.MSDR;NFIN;PRS,,
Past-tense verbal nouns,Past-tense verbal nouns,ADJ.MSDR;NFIN;PST,ADJ.MSDR;NFIN;PST,,
Determiners,Present,,ADJ.PTCP;NFIN;PRS,,
Determiners,Future,,ADJ.PTCP;NFIN;FUT,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,ADJ;DECL;FIN;PRS;FORM;ELEV,ADJ;FIN;PRS;INFM;ELEV,ADJ;FIN;PRS;INFM;POL;ELEV,ADJ;DECL;FIN;PRS;FORM;POL;ELEV
Indicative,Past,ADJ;DECL;FIN;PST;FORM;ELEV,ADJ;FIN;PST;INFM;ELEV,ADJ;FIN;PST;INFM;POL;ELEV,ADJ;DECL;FIN;PST;FORM;POL;ELEV
Interrogative,Non-past,ADJ;INT;FIN;PRS;FORM;ELEV,ADJ;FIN;PRS;INFM;ELEV,ADJ;FIN;PRS;INFM;POL;ELEV,ADJ;INT;FIN;PRS;FORM;POL;ELEV
Interrogative,Past,ADJ;INT;FIN;PST;FORM;ELEV,ADJ;FIN;PST;INFM;ELEV,ADJ;FIN;PST;INFM;POL;ELEV,ADJ;INT;FIN;PST;FORM;POL;ELEV
Assertive,Assertive,ADJ;DECL;FIN;FUT;FORM;ELEV,ADJ;FIN;FUT;INFM;ELEV,ADJ;FIN;FUT;INFM;POL;ELEV,ADJ;DECL;FIN;FUT;FORM;POL;ELEV
,,,,,
Cause/Reason,Cause/Reason,ADJ.CVB;NFIN;CAUS;ELEV,ADJ.CVB;NFIN;CAUS;ELEV,ADJ.CVB;NFIN;CAUS;ELEV,ADJ.CVB;NFIN;CAUS;ELEV
Contrast,Contrast,ADJ.CVB;NFIN;ELEV,ADJ.CVB;NFIN;ELEV,ADJ.CVB;NFIN;ELEV,
Conjunction,Conjunction,ADJ.CVB;NFIN;CONJ;ELEV,,,
Condition,Condition,ADJ.CVB;NFIN;COND;ELEV,ADJ.CVB;NFIN;COND;ELEV,,
,,,,,
Verbal nouns,Verbal nouns,ADJ.MSDR;NFIN;PRS;ELEV,ADJ.MSDR;NFIN;PRS;ELEV,,
Past-tense verbal nouns,Past-tense verbal nouns,ADJ.MSDR;NFIN;PST;ELEV,ADJ.MSDR;NFIN;PST;ELEV,,
Determiners,Present,,ADJ.PTCP;NFIN;PRS;ELEV,,
Determiners,Future,,ADJ.PTCP;NFIN;FUT;ELEV,,
